name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
A1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A5	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A6	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A9	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A10	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A11	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A12	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A13	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A14	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A15	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A16	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A17	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A18	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A19	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A20	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A21	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A22	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A23	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A24	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A25	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A26	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A27	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A28	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A29	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A30	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A31	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
A32	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B5	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B6	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B9	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B10	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B11	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B12	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B13	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B14	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B15	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B16	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B17	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B18	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B19	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B20	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B21	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B22	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B23	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B24	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B25	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B26	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B27	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B28	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B29	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B30	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B31	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
B32	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	n/a
EXG1	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
EXG2	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
EXG3	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
EXG4	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
EXG5	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
EXG6	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
EXG7	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
EXG8	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
GSR1	GSR	nS	0.0	417.0	Galvanic skin response (electrodermal activity, EDA)	2048.0	good	n/a
GSR2	GSR	nS	0.0	417.0	Galvanic skin response (electrodermal activity, EDA)	2048.0	good	n/a
Erg1	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
Erg2	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
Resp	RESP	µV	0.0	417.0	Respiration	2048.0	good	n/a
Plet	MISC	µV	0.0	417.0	Miscellaneous	2048.0	good	n/a
Temp	TEMP	n/a	0.0	417.0	Temperature	2048.0	good	n/a
Status	TRIG	n/a	0.0	417.0	Trigger	2048.0	good	n/a
